Macro Phrase,Macro Text,,,
no neck,Impression: No evidence of acute findings within the soft tissues of the neck.,,,
no orbit,There is no evidence of retro-bulbar hemorrhage. There is no evidence of globe or lens injury.,,,
mesenteric adenitis,"There are multiple small nonspecific lymph nodes in the mesenteric fat of the right lower quadrant, but there are no nodes of pathologic dimensions present. There is otherwise no evidence of bowel inflammation, inflammatory stranding, fluid collections or abscess formation. Findings are consistent with mesenteric adenitis.",,,
No filling defect,"No filling defect is identified within the main, segmental, or subsegmental pulmonary arteries to suggest pulmonary embolism.",,,
no osseous,No significant skeletal abnormalities are identified.,,,
no pancreas,The pancreas is poorly-visualized due to overlying bowel gas.,,,
No PE,Impression: No evidence of acute pulmonary embolism or other acute intrathoracic pathology.,,,
no pericholecystic,There is no evidence of pericholecystic fluid.,,,
no pseudocyst,There is no evidence of focal fluid collection to suggest pseudocyst or abscess formation.,,,
no right ovary,The right ovary is not visualized.,,,
no shift,There is no significant ventricular effacement or midline shift.,,,
no skeletal,No significant skeletal abnormalities are identified.,,,
no spinal,There is no evidence of significant spinal canal stenosis.,,,
No subluxation,Impression: No evidence of acute fracture or subluxation involving the,,,
no thoracic aortic,No evidence of acute intrathoracic aortic aneurysmal dilatation or dissection. No evidence of pulmonary embolism.,,,
no trauma,Impression: No evidence of acute intrathoracic or intra-abdominal injury or other acute pathology.,,,
node,There is a single enlarged nonspecific lymph node.,,,
occult head,"Please note, early findings of acute ischemia can be occult on CT head. If there is high clinical concern for ischemia, an MRI can be obtained with diffusion-weighted imaging.",,,
old fibroids,"There are fibroids noted within the uterus, some of which are calcified and degenerated.",,,
old head mild,There are patchy areas of diminished attenuation seen within the periventricular and subcortical white matter compatible with mild chronic microvascular ischemic changes.,,,
old head moderate,There are patchy areas of diminished attenuation seen within the periventricular and subcortical white matter compatible with moderate chronic microvascular ischemic changes.,,,
old head severe,There are patchy areas of diminished attenuation seen within the periventricular and subcortical white matter compatible with extensive chronic microvascular ischemic changes.,,,
old maid,"There is bronchiectasis in the lingula and medial right middle lobe, suggestive of chronic mycobacterium avium intracellulare colonization.",,,
orbits,The orbits are normal.,,,
os peroneus,There is a benign os peroneus accessory ossicle.,,,
Os trigonum,There is a normal accessory os trigonum accessory ossicle.,,,
oss tibiale,There is an accessory os tibiale externum.,,,
osteopenia,The osseous structures are demineralized.,,,
osteophytosis mild,There is mild degenerative osteophytosis.,,,
osteophytosis moderate,There is moderate degenerative osteophytosis.,,,
osteophytosis severe,There is marked degenerative osteophytosis.,,,
other findings,"Impression: Other, nonacute findings as described above.",,,
outlet obstruction,The bladder demonstrates diffuse wall thickening consistent with chronic outlet obstruction.,,,
ovaries,The ovaries are normal.,,,
ovary cyst left,There is a simple cyst in the left ovary.,,,
ovary cyst right,There is a simple cyst in the right ovary.,,,
ovary polycystic,There are multiple simple ovarian cysts.,,,
pacemaker,"A pacemaker device is present, and its leads are in appropriate position.",,,
pancreas atrophy,There is diffuse atrophy of the pancreatic parenchyma.,,,
pancreas calcifications,"There are punctate pancreatic parenchymal calcifications, consistent with chronic pancreatitis.",,,
pancreas fatty,"There is diffuse, benign fatty infiltration of the pancreas.",,,
pancreatitis,"There is diffuse peripancreatic inflammatory stranding and fluid, consistent with acute pancreatitis.",,,
pancreatitis mild,"There is mild diffuse peripancreatic inflammatory stranding and fluid, consistent with mild acute pancreatitis.",,,
pancreatitis moderate,"There is moderate diffuse peripancreatic inflammatory stranding and fluid, consistent with moderate acute pancreatitis.",,,
pancreatitis severe,"There is marked diffuse peripancreatic inflammatory stranding and fluid, consistent with severe acute pancreatitis.",,,
paravertebral,The paravertebral soft tissues are unremarkable.,,,
pectus,There is a moderate pectus excavatum deformity of the anterior chest wall.,,,
pelvic dissection,"Multiple surgical clips are present in the pelvis, consistent in appearance with previous pelvic lymph node dissection.",,,
pelvic fluid,"A small amount of free fluid is noted within the pelvis, which is likely physiologic.",,,
periaortic adenopathy,There are multiple enlarged nonspecific periaortic lymph nodes.,,,
periaortic shotty,"There are multiple small nonspecific lymph nodes in the periaortic region, but there are no nodes of pathologic dimensions present.",,,
periappendiceal large,There is a large amount of periappendiceal fluid and inflammatory stranding.,,,
periappendiceal mild,There is mild periappendiceal inflammatory stranding.,,,
periappendiceal moderate,There is moderate periappendiceal inflammatory stranding.,,,
periappendiceal severe,There is marked periappendiceal inflammatory stranding.,,,
pericardial large,There is a large pericardial effusion present.,,,
pericardial moderate,There is a moderate pericardial effusion present.,,,
pericardial small,There is a small pericardial effusion present.,,,
pericholecystic,There is pericholecystic fluid.,,,
pericolonic,There is pericolonic inflammatory stranding.,,,
periportal,There is periportal edema.,,,
periportal mild,There is mild periportal edema.,,,
phleboliths,There are numerous benign phleboliths in the pelvis.,,,
Plantar fasciitis severe,The plantar fascia origin demonstrates marked inflammatory signal abnormality with plantar fasciitis.,,,
polycystic,There are multiple simple renal cysts.,,,
porcelain,"There is linear calcification in the gallbladder wall, consistent with porcelain gallbladder and indicative of an increased risk of gallbladder carcinoma.",,,
portal caval adenopathy,There are multiple enlarged nonspecific portocaval lymph nodes.,,,
pregnancy,A single intrauterine pregnancy is present.,,,
prelim,This report constitutes a preliminary interpretation only. Nonacute findings felt to be unrelated to clinical presentation may not be discussed in this report. The study will be interpreted and a final report will be generated by the local radiologist the following shift.,,,
prostate,The prostate gland and seminal vesicles are normal.,,,
prostate calcifications,The prostate gland demonstrates nonspecific parenchymal calcifications.,,,
prostate mild,The prostate gland demonstrates mild nonspecific enlargement. The seminal vesicles are normal.,,,
prostate moderate,The prostate gland demonstrates moderate nonspecific enlargement. The seminal vesicles are normal.,,,
Prostate seeds,There are multiple hyperdense radiation seeds within the prostate parenchyma.,,,
prostate severe,The prostate gland demonstrates marked nonspecific enlargement. The seminal vesicles are normal.,,,
prostatectomy,There has been a prostatectomy.,,,
pulmonary limited,Evaluation for pulmonary embolism is limited secondary to the lack of contrast opacification within the bilateral segmental and subsegmental pulmonary arteries. No definite filling defect is identified within the main and immediate right and left pulmonary arteries. The proximal segmental and subsegmental arteries cannot be evaluated on this study.,,,
Pulmonary Suboptimal,"Please note, this study is suboptimal for the evaluation of pulmonary embolism to to lack of contrast opacification within the subsegmental arteries of the bilateral pulmonary arteries. No filling defect is identified within the main or immediate segmental branches. The subsegmental branches cannot be evaluated on this study.",,,
renal cortical,"There is diffuse bilateral renal cortical thinning, consistent with chronic renal insufficiency.",,,
renal cyst,There is a simple cyst in the kidney.,,,
renal nonspecific,Bilateral perirenal fat stranding is nonspecific.,,,
reversal,"There is a reversal of the normal lordosis, related to positioning or spasm.",,,
right adenoma,"There is a focal hypodense mass in the right adrenal gland, consistent in appearance with a benign adrenal adenoma.",,,
right adrenal,The right adrenal gland is normal.,,,
right arthroplasty,There has been a right total hip arthroplasty.,,,
Right avascular necrosis,"There is a focus of geographic signal abnormality with serpiginous peripheral sclerosis in the subchondral right femoral head, consistent with avascular necrosis.",,,
right corpus,"There is an irregular cystic lesion in the right ovary, consistent with a corpus luteum.",,,
Right corpus luteum,"There is an irregular cystic lesion in the right ovary, consistent with a corpus luteum.",,,
right cyst,There is a simple cyst in the right kidney.,,,
right effusion,There is a right pleural effusion.,,,
right glenohumeral,The right glenohumeral joint is normal.,,,
right glenohumeral mild,There are mild degenerative changes in the right glenohumeral joint.,,,
right glenohumeral moderate,There are moderate degenerative changes in the right glenohumeral joint.,,,
right glenohumeral severe,There are severe degenerative changes in the right glenohumeral joint.,,,
right hepatic cyst,There is a simple right lobe hepatic cyst.,,,
right hilar adenopathy,There are multiple enlarged nonspecific right hilar lymph nodes.,,,
right hip arthoplasty,There has been a right total hip arthroplasty.,,,
right hip mild,There are mild degenerative changes in the right hip joint.,,,
right hip moderate,There are moderate degenerative changes in the right hip joint.,,,
right hip severe,There are marked degenerative changes in the right hip joint.,,,
right inguinal,There is a nonobstructing right inguinal hernia.,,,
right kidney,The right kidney is normal.,,,
right kidney cyst,There is a simple cyst in the right kidney.,,,
right kidney infarct,"There is a focal cortical defect in the right kidney, consistent with remote infarction.",,,
Right kidney malrotation,The right kidney is malrotated.,,,
right kidney scar,"There is a focal cortical defect in the right kidney, representing remote infection or infarction.",,,
right knee arthroplasty,There has been a right knee arthroplasty with patellar resurfacing.,,,
right mastectomy,There has been a right mastectomy.,,,
right mastoidectomy,There has been a right mastoidectomy.,,,
right maxillary chronic,"There is diffuse mucoperiosteal thickening in the right maxillary sinus, consistent with chronic sinusitis.",,,
right nephrectomy,There is been a right nephrectomy.,,,
right ovarian cyst,There is a simple cyst in the right ovary.,,,
right ovarian polycystic,There are multiple simple right ovarian cysts.,,,
right ovary cyst,There is a simple cyst in the right ovary.,,,
right parapelvic,There are small benign right parapelvic cysts.,,,
right perinephric,There is inflammatory right perinephric stranding.,,,
right polycystic,There are multiple simple right renal cysts.,,,
right renal cortical,"There is a small focal cortical defect in the right kidney, representing remote infection or infarction.",,,
right renal cyst,There is a simple cyst in the right kidney.,,,
right renal polycystic,There are multiple simple right renal cysts.,,,
right renal scar,"There is a focal cortical defect in the right kidney, representing remote infection or infarction.",,,
right renal stent,There is a left ureteral stent with its coiled ends appropriately positioned in the right collecting system and bladder.,,,
right ribs healed,There are healed right rib fractures.,,,
right subcentimeter,"A subcentimeter hypodensity within the right kidney is too small to characterize, but statistically represents a renal cyst.",,,
right thalamus,"There is a focal hypodensity in the right thalamus, consistent with a remote lacunar infarction.",,,
right thyroid adenoma,"There is a focal hypodense lesion in the right thyroid lobe, consistent with a thyroid adenoma or carcinoma. Correlation with laboratory values and nuclear medicine scan is recommended if clinically warranted.",,,
shotty cervical,There are numerous prominent but non-pathologic lymph nodes in the neck. There are no nodes of pathologic dimensions.,,,
shotty inguinal,There are numerous prominent but non-pathologic lymph nodes in the inguinal regions. There are no nodes of pathologic dimensions.,,,
shotty mediastinal,There are numerous prominent but non-pathologic lymph nodes in the mediastinum. There are no nodes of pathologic dimensions.,,,
shotty mediastinum,There are numerous prominent but non-pathologic lymph nodes in the mediastinum. There are no nodes of pathologic dimensions.,,,
shotty mesenteric,There are multiple nonspecific nonpathologic but prominent lymph nodes in the mesentery. There are no mesenteric lymph nodes of pathologic dimensions.,,,
shotty mesentery,There are multiple nonspecific nonpathologic but prominent lymph nodes in the mesentery. There are no mesenteric lymph nodes of pathologic dimensions.,,,
shotty periaortic,There are multiple nonspecific nonpathologic but prominent lymph nodes in the periaortic region. There are no lymph nodes of pathologic dimensions.,,,
skeletal abdomen,"The spine, sacroiliac joints, and hip joints are normal.",,,
skeletal normal,The skeletal structures and soft tissues show no evidence of fracture or other acute processes.,,,
sleeve,The patient is post gastric sleeve surgery.,,,
sludge,The gallbladder demonstrates layering density consistent with noncalcified stones or sludge.,,,
spina bifida,There a benign spina bifida occulta.,,,
spleen calcifications,"The spleen demonstrates punctate calcifications, consistent with remote granulomatous organism exposure.",,,
spleen cyst,There is a simple splenic cyst.,,,
Spleen nonspecific,There are multiple splenic hypodensities that cannot be further characterized on the current examination.,,,
Spleen polycystic,There are multiple simple splenic cysts.,,,
splenectomy,There has been a splenectomy.,,,
Splenic Varices,There are small dilated perisplenic vessels consistent with varices.,,,
splenomegaly mild,There is mild nonspecific splenomegaly.,,,
splenomegaly moderate,There is moderate nonspecific splenomegaly.,,,
splenomegaly severe,There is marked nonspecific splenomegaly.,,,
splenule,An accessory splenule is noted adjacent to the spleen.,,,
splenule poly,Accessory splenules are noted adjacent to the spleen.,,,
sternotomy,There are sternal wires consistent with previous sternotomy incision.,,,
stool moderate,There is a moderate fecal load noted throughout the colon. Correlate for history of constipation.,,,
straightening,There is straightening of the normal cervical lordosis.,,,
Subcentimeter,"There are subcentimeter hypodensities in the bilateral kidneys, which are too small to characterize, but statistically represent renal cysts.",,,
subcentimeter hemorrhagic,"There are subcentimeter hypo-and hyperdensities in the bilateral kidneys, which are too small to characterize, but statistically represent renal cysts, some of which may be hemorrhagic.",,,
suboptimal PE,"Please note, the study is suboptimal for the evaluation of pulmonary embolism due to the lack of adequate contrast opacification within the pulmonary arteries.  The majority of the contrast is already within the aorta.  There is no filling defect within the main, right and left and proximal segmental branches of the pulmonary arteries.  The distal segmental and subsegmental branches cannot be evaluated on the study.",,,
suprapatellar large,A large suprapatellar joint effusion is present.,,,
suprapatellar moderate,A moderate suprapatellar joint effusion is present.,,,
suprapatellar small,A small suprapatellar joint effusion is present.,,,
tampon,A tampon is noted within the vaginal vault.,,,
right picc,A right peripherally inserted central venous catheter lies with its tip in the superior vena cava.,,,
Right subcentimeter many,"Subcentimeter hypodensities within the right kidney are too small to characterize, but statistically represents renal cysts.",,,
stool,There is extensive distenstion the rectosigmoid colon with a large internal fecal load. Consider disimpaction to prevent stercoral (pressure) colitis.,,,
thoracic mild,The thoracic spine demonstrates mild degenerative changes at multiple levels.,,,
thoracic moderate,The thoracic spine demonstrates moderate degenerative changes at multiple levels.,,,
thoracic severe,The thoracic spine demonstrates severe degenerative changes at multiple levels.,,,
total knee,There has been a total knee arthroplasty with patellar resurfacing.,,,
tracheostomy,A tracheostomy tube overlies the tracheal air column.,,,
tubal ligation,There has been a tubal ligation.,,,
ultrasonographic,Impression: Cholelithiasis without ultrasonographic evidence of cholecystitis.,,,
umbilical hernia,There is a fat-containing umbilical hernia.,,,
ureteral jets,Bilateral ureteral jets are identified.,,,
uterus,The uterus is normal.,,,
uterus atrophy,The uterus is atrophic but otherwise normal.,,,
uterus fibroid,"There is an irregular calcification in the myometrium, consistent with a benign degenerated fibroid tumor.",,,
uterus retroflexed,The uterus is retroflexed but otherwise normal.,,,
vascular calcs,Vascular calcifications are present.,,,
vascular mild,The vasculature demonstrates diffuse mild atherosclerotic calcification.,,,
vascular moderate,The vasculature demonstrates diffuse moderate atherosclerotic calcification.,,,
vascular scattered,The vasculature demonstrates scattered mild atherosclerotic calcification.,,,
vascular severe,The vasculature demonstrates diffuse extensive atherosclerotic calcification.,,,
Vicarious,There is vicarious gallbladder contrast excretion.,,,
mesentery,"Multiple nonspecific, nonpathologic, but prominent lymph nodes in the mesentery. No mesenteric lymph nodes of pathologic dimensions. Diffuse inflammatory stranding throughout the central mesentery as well. Findings are nonspecific, and most likely represent a viral adenitis. This &quot;misty mesentery&quot; can be an early manifestation of mesenteric lymphoma, however, and a follow up examination is recommended as clinically warranted.",,,
scars,"There are focal cortical defects in the bilateral kidneys, representing remote infection or infarction.
",,,
brain mild,"There are patchy areas of diminished attenuation seen within the periventricular and subcortical white matter compatible with mild chronic microvascular ischemic changes.There is diffuse cerebral atrophy present, consistent with this patient's age.There is no evidence of intracranial hemorrhage. There is no evidence of acute ischemia. There is no evidence of intracranial extra-axial fluid collections. There is no mass-effect or midline shift.",,,
low-grade,There are multiple fluid-filled loops of small bowel and colon noted throughout the abdomen and pelvis. There is no frank dilatation or obstruction. Findings are compatible with low grade enterocolitis.,,,
left picc,A left peripherally inserted central venous catheter lies with its tip in the superior vena cava.,,,
picc,A peripherally inserted central venous catheter lies with its tip in the superior vena cava.,,,
microvascular,"There are subcortical and periventricular white matter FLAIR hyperintensities, likely related to chronic microvascular ischemic disease.",,,
Bladder nonspecific,There is nonspecific bladder wall thickening. This may be related to incomplete distention versus mild cystitis. Correlate with urinalysis.,,,
diverticulosis moderate,Moderate diverticulosis is present in the sigmoid and descending colon.,,,
diverticulosis mild,Mild diverticulosis is present in the sigmoid and descending colon.,,,
Epiploic appendagitis,There is a focus of extraluminal inflammation with central fat density. This is consistent with acute epiploic appendagitis.  This is typically a self-limiting condition and responds well to NSAIDs.,,,
appendicitis severe,"The appendix demonstrates marked diffuse distention to approximately __ , consistent with acute appendicitis.  There is extensive periappendiceal inflammatory stranding.  No abscess. ",,,
gallbladder sludge,The gallbladder demonstrates layering density consistent with noncalcified stones or sludge.,,,
Patchy,"There are bilateral patchy groundglass airspace opacities, which are extending to the periphery.  This is in a pattern of distribution which can be seen with atypical pneumonia.  Consider testing. ",,,
Left subcentimeter many,"Subcentimeter hypodensities within the left kidney are too small to characterize, but statistically represents renal cysts.",,,
left subcentimeter hemorrhagic,"There is a subcentimeter hyperdensity within the left kidney, which is too small to characterize, but statistically represents a hemorrhagic or complex cyst. ",,,
right subcentimeter hemorrhagic,"There is a subcentimeter hyperdensity within the right kidney, which is too small to characterize, but statistically represents a hemorrhagic or complex cyst. ",,,
